subject,version,character,coherence,lag,plot,response,rt,stimulus,word_count
401,3,Sandra,unrelated,short,sideplot,"{""Q0"":""Sandra was going on a blind date with a man she was speaking to online but was worried that this man was the one her friend used to date. She did not know what he looked like but thought there would be a problem if he was blonde with side burns. She called the main character of the story to tell him about her upcoming date because she wanted someone to talk to about it since she had never seen what the man had looked like. ""}",183742.3,NA,87
401,3,Beatrice,coherent,long,sideplot,"{""Q0"":""Beatrice was having trouble with her girlfriend. They thought that they could make things better by getting a dog. She wanted one type of dog but her girlfriend wanted another, and they could not agree on this. She called the main character of the story to tell him this, and that if her girlfriend gets the dog in a pink collar she is leaving her. The main character suggests that she goes to the shelter with her girlfriend and adopt a dog. Later on, Beatrice comes home and her girlfriend is there with the dog she does not want, so they break up. Beatrice asks Charles to help her look for a one bedroom to say, or if he knows any singles. ""}",180485.3,NA,123
401,3,Melvin,unrelated,long,sideplot,"{""Q0"":""Melvin Doyle is a friend of the main character who is very into theater. He calls him to tell him about the role he is auditioning for. He is trying out for two different parts in Hamlet. He is optimistic because they are short actors, so this will likely help him get a better role. He thinks he may even get the lead role. He is dressed in red medieval clothing when he calls Charles. At the end of their call, he asks his friend to wish him luck in his audition. ""}",180831,NA,93
401,3,Johnny,coherent,short,sideplot,"{""Q0"":""Johnny Pratt is a friend of the main character who is having issues with his boyfriend. His boyfriend feels like he does not make enough time for their relationship. Johnny calls Charles to discuss this. He then asks Charles if he knows of any cheap flights, which Charles says he will ask around for. He says his boyfriend realized he was being too harsh on him, and wants to take him on a vacation as a gift. ""}",180413.7,NA,78
401,3,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort is the main character of the story. He works at a newspaper and is trying to get a shot that will get him a promotion and change his career for the better. He goes to the Mayor's meeting, who many people are not happy with. Charles is able to squeeze his way to the front of the crowd. The Mayor is going through an impeachment trial, and shows up late to his meeting since he is dropping his kid off at school, which Charles learns about through another reporter who is also waiting for the mayor. After waiting a while for him to show up, Charles gets a bunch of photos. He goes back to his desk to look at the photos he took, and finds the perfect one that will change his life. He writes an email to his boss with the photo in it. Then, Charles goes to meet his mother at the park for lunch. He says hi to the bus driver who pays no attention to him. He meets his mother who gives him a tuna sandwich. She tells him that in the article he sent her, there is no photo. Charles cannot believe this and takes a look at the article himself. He sees that there is no photo. He then realizes the newspaper printed the wrong photo. He goes to work where he demands the secretary let him see his boss immediately because it is an emergency. She makes him wait until his meeting is over. When he goes in, his boss tells him that Charles did not do his job because there were no photos sent by him. In that moment, Charles realized that he did not hit send on the email, and loss his opportunity at a promotion. Through out the day, Charles receives many calls from his friends. He gives them all advice and listens to all of their problems. He tells Beatrice to go to the adoption clinic and that he will help her find an apartment. He listens about his friends dates, problems with their significant others, and future plans. ""}",365204.1,NA,354
403,10,Beatrice,unrelated,short,sideplot,"{""Q0"":""Beatrice Small\n- She was first introduced in the story, wearing a green shirt, as Charles Bort's friend, texting him because she was having a small argument with her partner. Her partner wanted to choose between two different breeds of dogs, a corgi and perhaps a german shepherd? but Beatrice was only interested in a third, different breed. Charles advised that she go to a local shelter with her partner to compromise on a dog.\n- She was reintroduced later on in the story with something involving exercise.""}",218711.3,NA,86
403,10,Sandra,coherent,long,sideplot,"{""Q0"":""Sandra Mayes was Charles Bort's friend as well, reaching out with a dilemma. She was about to go on a date with someone she had met online, but it was a blind date. She was nervous about it because the guy sounded eerily similar to a man that had treated her friend very poorly in a past relationship. Charles advises her to go on the date anyway. She shows up, and the man does not appear for 30 minutes, prompting Sandra to call Charles again. As she is leaving, while on the phone with him, she passes by the man who she assumed it would be all along. She was wearing a pink blouse.""}",197149.3,NA,114
403,10,Johnny,unrelated,long,sideplot,"{""Q0"":""Johhny Pratt bumped into Charles with a dilemma, one that Charles deemed unimportant in comparison to what he was dealing with at the time. I really cannot remember what the problem was, sorry. I think him and Charles were friends, because Charles received another call from Johnny later on in the story. I also cannot remember what that was about. They might have worked together, Johnny wore a brown light coat.""}",186677.7,NA,71
403,10,Melvin,coherent,short,sideplot,"{""Q0"":""I do not remember a thing about Melvin Doyle, unfortunately. Was he the one with the boyfriend? I really do not remember a thing about his character. sorry""}",183901.2,NA,28
403,10,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles Bort! The main character \n\nCharles wore a yellow scarf and had a messy desk. He worked as a journalist in a very drab, gray room. He ate a lot of beige greek yogurt on the morning that this story began, and left it on the desk for a while after. \n\nIn this story, Charles gets his big break. He's been working very hard, as one could assume from the piles of paper on his desk. That day, his boss calls him and tells him he will be photographing the infamous mayor. He was only given 20 minutes to get to the mayors press conference so he borrows his bosses yellow bike, which he stops to park in front of a red newspaper box. \n\nHere is where he bumps into Johnny Pratt, I believe.\n\nWhen he arrives to the scene of the press conference, only a few other journalists and photographers are there, mingling. He joins them, and speaks to a redheaded woman for a bit. Personally, I thought that if this were a really movie, she totally would have been the love interest. But I digress. \n\nThe mayor is taking a long time to get there, so Charles sets up his nikon camera (as mentioned before) and makes sure he has a good shot of the stage. However, the mayor arrives in a car behind him! This semi-foiled his plan of getting an unrehearsed facial expression from the mayor. However, he still gets a good shot when he purposefully asks him to smile, knowing it would produce a perfect scowl from the mayor. He takes the shot, and gets it!\n\nCharles is ecstatic because he believes that this photo will be the reason he gets promoted by his boss. He is sending the email to his boss as he gets on the bus to go meet his mom, so he never presses send. \n\nHe meets with his mom (who seems super nice btw Charles was a bit rude to her idk thats just me) and she tells him she is worried about him. She says he has been working too hard and is not giving himself time to do other things that make him happy, such as finding a life partner. (hello ms redhead) He dismisses her comments and says that once he gets the promotion, itll all be worth it. \n\nFinally, the article is released! But with the wrong photo. Charles' big break is ruined! He goes to confront his boss about it and realizes he never sent the photo, despite having prepared the email. RIP Charles:( legends say he is still a normal journalist to this day\n\n\n\n""}",654613.7,NA,438
