subject,version,character,act,event,position,coherence,lag,plot,response,rt,error,abs_error,condition,exclusion
401,3,Melvin,2,B,133,unrelated,long,sideplot,NA,NA,NA,NA,unrelated-long,exclude
401,3,Sandra,2,B,87,unrelated,short,sideplot,NA,NA,NA,NA,unrelated-short,exclude
401,3,Charles,1,A,1,mainplot,mainplot,mainplot,73,7473.4,72,72,mainplot,include
401,3,Charles,1,C,38,mainplot,mainplot,mainplot,NA,NA,NA,NA,mainplot,exclude
401,3,Charles,2,E,141,mainplot,mainplot,mainplot,NA,NA,NA,NA,mainplot,exclude
401,3,Charles,1,D,52,mainplot,mainplot,mainplot,62,2287.2,10,10,mainplot,include
401,3,Johnny,1,A,58,coherent,short,sideplot,94,4923.2,36,36,coherent-short,include
401,3,Beatrice,2,A,120,coherent,long,sideplot,123,2907.9,3,3,coherent-long,include
401,3,Charles,1,A,2,mainplot,mainplot,mainplot,64,3052.3,62,62,mainplot,include
401,3,Beatrice,2,A,118,coherent,long,sideplot,113,3115.5,-5,5,coherent-long,include
401,3,Charles,2,C,108,mainplot,mainplot,mainplot,113,6900.1,5,5,mainplot,include
401,3,Charles,2,E,138,mainplot,mainplot,mainplot,113,2987.6,-25,25,mainplot,include
401,3,Charles,2,E,143,mainplot,mainplot,mainplot,126,2740.7,-17,17,mainplot,include
401,3,Charles,2,A,74,mainplot,mainplot,mainplot,94,3573.1,20,20,mainplot,include
401,3,Sandra,1,A,41,unrelated,short,sideplot,16,2459.6,-25,25,unrelated-short,include
401,3,Charles,1,D,54,mainplot,mainplot,mainplot,42,1701.2,-12,12,mainplot,include
401,3,Charles,2,C,106,mainplot,mainplot,mainplot,94,1771.5,-12,12,mainplot,include
401,3,Charles,1,E,70,mainplot,mainplot,mainplot,103,6692.9,33,33,mainplot,include
401,3,Sandra,2,B,88,unrelated,short,sideplot,89,3468.6,1,1,unrelated-short,include
401,3,Sandra,1,A,42,unrelated,short,sideplot,36,2900.6,-6,6,unrelated-short,include
401,3,Melvin,1,A,29,unrelated,long,sideplot,40,3516.8,11,11,unrelated-long,include
401,3,Charles,1,B,20,mainplot,mainplot,mainplot,63,2188.6,43,43,mainplot,include
401,3,Charles,2,B,94,mainplot,mainplot,mainplot,100,1485.1,6,6,mainplot,include
401,3,Sandra,2,B,83,unrelated,short,sideplot,119,2460.9,36,36,unrelated-short,include
401,3,Charles,2,D,123,mainplot,mainplot,mainplot,127,1780.3,4,4,mainplot,include
401,3,Beatrice,1,A,12,coherent,long,sideplot,39,3292.5,27,27,coherent-long,include
401,3,Johnny,1,A,61,coherent,short,sideplot,56,1773.9,-5,5,coherent-short,include
401,3,Johnny,2,A,104,coherent,short,sideplot,95,2060.9,-9,9,coherent-short,include
401,3,Charles,2,D,126,mainplot,mainplot,mainplot,118,2692.6,-8,8,mainplot,include
401,3,Charles,1,A,5,mainplot,mainplot,mainplot,62,3364.3,57,57,mainplot,include
401,3,Charles,1,E,66,mainplot,mainplot,mainplot,55,2316.3,-11,11,mainplot,include
401,3,Melvin,2,B,132,unrelated,long,sideplot,25,4820.3,-107,107,unrelated-long,include
401,3,Charles,1,C,36,mainplot,mainplot,mainplot,52,5259.7,16,16,mainplot,include
401,3,Charles,1,A,8,mainplot,mainplot,mainplot,83,3019.7,75,75,mainplot,include
401,3,Melvin,2,B,129,unrelated,long,sideplot,50,2731.7,-79,79,unrelated-long,include
401,3,Johnny,2,A,99,coherent,short,sideplot,107,3437.9,8,8,coherent-short,include
401,3,Beatrice,1,A,13,coherent,long,sideplot,48,2116.6,35,35,coherent-long,include
401,3,Charles,1,C,35,mainplot,mainplot,mainplot,57,1572.3,22,22,mainplot,include
401,3,Charles,2,E,140,mainplot,mainplot,mainplot,128,4110,-12,12,mainplot,include
401,3,Charles,1,B,24,mainplot,mainplot,mainplot,50,3404.1,26,26,mainplot,include
401,3,Charles,1,B,18,mainplot,mainplot,mainplot,52,1996.2,34,34,mainplot,include
401,3,Charles,1,D,55,mainplot,mainplot,mainplot,51,2556.3,-4,4,mainplot,include
401,3,Charles,1,A,3,mainplot,mainplot,mainplot,59,1540.3,56,56,mainplot,include
401,3,Charles,2,D,124,mainplot,mainplot,mainplot,122,1540.7,-2,2,mainplot,include
401,3,Charles,2,C,109,mainplot,mainplot,mainplot,99,2502,-10,10,mainplot,include
401,3,Beatrice,1,A,9,coherent,long,sideplot,93,2780.4,84,84,coherent-long,include
401,3,Charles,2,A,76,mainplot,mainplot,mainplot,85,1853.3,9,9,mainplot,include
401,3,Beatrice,2,A,117,coherent,long,sideplot,102,1589,-15,15,coherent-long,include
401,3,Charles,2,B,91,mainplot,mainplot,mainplot,82,1653.1,-9,9,mainplot,include
401,3,Johnny,1,A,60,coherent,short,sideplot,41,2580.7,-19,19,coherent-short,include
401,3,Charles,1,C,33,mainplot,mainplot,mainplot,56,1972.5,23,23,mainplot,include
401,3,Melvin,1,A,26,unrelated,long,sideplot,27,1820.1,1,1,unrelated-long,include
401,3,Charles,2,D,127,mainplot,mainplot,mainplot,137,4300.8,10,10,mainplot,include
401,3,Sandra,1,A,43,unrelated,short,sideplot,32,2060.5,-11,11,unrelated-short,include
401,3,Melvin,1,A,27,unrelated,long,sideplot,27,3260.5,0,0,unrelated-long,include
401,3,Charles,1,C,37,mainplot,mainplot,mainplot,44,1805,7,7,mainplot,include
401,3,Charles,1,E,68,mainplot,mainplot,mainplot,66,2091.7,-2,2,mainplot,include
401,3,Charles,1,B,17,mainplot,mainplot,mainplot,53,2612.4,36,36,mainplot,include
401,3,Charles,1,C,40,mainplot,mainplot,mainplot,75,3588.4,35,35,mainplot,include
401,3,Charles,2,E,137,mainplot,mainplot,mainplot,126,3940.1,-11,11,mainplot,include
401,3,Melvin,1,A,30,unrelated,long,sideplot,33,1908.3,3,3,unrelated-long,include
401,3,Johnny,2,A,103,coherent,short,sideplot,117,3437.4,14,14,coherent-short,include
401,3,Johnny,1,A,63,coherent,short,sideplot,41,2211.9,-22,22,coherent-short,include
401,3,Johnny,1,A,64,coherent,short,sideplot,38,2596.4,-26,26,coherent-short,include
401,3,Charles,1,D,56,mainplot,mainplot,mainplot,74,3004.3,18,18,mainplot,include
401,3,Charles,1,E,65,mainplot,mainplot,mainplot,90,2636,25,25,mainplot,include
401,3,Charles,1,E,71,mainplot,mainplot,mainplot,27,2980,-44,44,mainplot,include
401,3,Johnny,2,A,101,coherent,short,sideplot,106,3620.4,5,5,coherent-short,include
401,3,Melvin,2,B,134,unrelated,long,sideplot,99,7013.7,-35,35,unrelated-long,include
401,3,Charles,2,D,125,mainplot,mainplot,mainplot,136,3036,11,11,mainplot,include
401,3,Melvin,2,B,131,unrelated,long,sideplot,126,2213.5,-5,5,unrelated-long,include
401,3,Beatrice,1,A,11,coherent,long,sideplot,33,2516.8,22,22,coherent-long,include
401,3,Charles,2,A,79,mainplot,mainplot,mainplot,88,5660.7,9,9,mainplot,include
401,3,Charles,1,E,72,mainplot,mainplot,mainplot,41,3843.8,-31,31,mainplot,include
401,3,Charles,2,B,96,mainplot,mainplot,mainplot,95,2948.2,-1,1,mainplot,include
401,3,Beatrice,2,A,119,coherent,long,sideplot,123,3628.9,4,4,coherent-long,include
401,3,Charles,1,D,50,mainplot,mainplot,mainplot,57,3340.4,7,7,mainplot,include
401,3,Charles,2,E,139,mainplot,mainplot,mainplot,138,2220.4,-1,1,mainplot,include
401,3,Sandra,1,A,48,unrelated,short,sideplot,27,1980,-21,21,unrelated-short,include
401,3,Charles,2,C,112,mainplot,mainplot,mainplot,100,1916.5,-12,12,mainplot,include
401,3,Charles,2,E,142,mainplot,mainplot,mainplot,139,4499.9,-3,3,mainplot,include
401,3,Sandra,2,B,84,unrelated,short,sideplot,113,2453.1,29,29,unrelated-short,include
401,3,Charles,1,C,34,mainplot,mainplot,mainplot,67,1469.2,33,33,mainplot,include
401,3,Charles,2,B,90,mainplot,mainplot,mainplot,100,1437.4,10,10,mainplot,include
401,3,Johnny,2,A,102,coherent,short,sideplot,107,3052.7,5,5,coherent-short,include
401,3,Charles,2,A,77,mainplot,mainplot,mainplot,74,5172.4,-3,3,mainplot,include
401,3,Sandra,2,B,86,unrelated,short,sideplot,95,2979.9,9,9,unrelated-short,include
401,3,Charles,2,D,128,mainplot,mainplot,mainplot,121,2013.1,-7,7,mainplot,include
401,3,Sandra,2,B,82,unrelated,short,sideplot,104,1468.6,22,22,unrelated-short,include
401,3,Beatrice,2,A,114,coherent,long,sideplot,109,2140.6,-5,5,coherent-long,include
401,3,Sandra,1,A,46,unrelated,short,sideplot,36,2109.8,-10,10,unrelated-short,include
401,3,Melvin,2,B,136,unrelated,long,sideplot,122,3628.4,-14,14,unrelated-long,include
401,3,Charles,1,C,39,mainplot,mainplot,mainplot,67,3421.3,28,28,mainplot,include
401,3,Charles,1,E,67,mainplot,mainplot,mainplot,98,2548,31,31,mainplot,include
401,3,Charles,2,C,110,mainplot,mainplot,mainplot,116,2420.9,6,6,mainplot,include
401,3,Sandra,2,B,85,unrelated,short,sideplot,107,2404.5,22,22,unrelated-short,include
401,3,Charles,2,C,105,mainplot,mainplot,mainplot,117,3188.2,12,12,mainplot,include
401,3,Charles,2,A,75,mainplot,mainplot,mainplot,92,1179.8,17,17,mainplot,include
401,3,Charles,2,B,95,mainplot,mainplot,mainplot,95,1534.4,0,0,mainplot,include
401,3,Charles,2,A,80,mainplot,mainplot,mainplot,75,1612.7,-5,5,mainplot,include
401,3,Sandra,2,B,81,unrelated,short,sideplot,88,2293.4,7,7,unrelated-short,include
401,3,Charles,1,B,19,mainplot,mainplot,mainplot,53,2588.4,34,34,mainplot,include
401,3,Beatrice,1,A,14,coherent,long,sideplot,48,1860.7,34,34,coherent-long,include
401,3,Melvin,1,A,31,unrelated,long,sideplot,34,1404.2,3,3,unrelated-long,include
401,3,Melvin,2,B,135,unrelated,long,sideplot,106,2820.7,-29,29,unrelated-long,include
401,3,Charles,1,A,4,mainplot,mainplot,mainplot,92,3933.2,88,88,mainplot,include
401,3,Charles,1,A,6,mainplot,mainplot,mainplot,99,2372.2,93,93,mainplot,include
401,3,Charles,2,C,111,mainplot,mainplot,mainplot,111,1748.9,0,0,mainplot,include
401,3,Johnny,2,A,97,coherent,short,sideplot,49,2013.2,-48,48,coherent-short,include
401,3,Beatrice,2,A,115,coherent,long,sideplot,121,1661,6,6,coherent-long,include
401,3,Charles,2,D,122,mainplot,mainplot,mainplot,126,2380.4,4,4,mainplot,include
401,3,Charles,1,A,7,mainplot,mainplot,mainplot,87,2796,80,80,mainplot,include
401,3,Charles,2,C,107,mainplot,mainplot,mainplot,89,2252.4,-18,18,mainplot,include
401,3,Melvin,2,B,130,unrelated,long,sideplot,94,3715.6,-36,36,unrelated-long,include
401,3,Charles,2,B,89,mainplot,mainplot,mainplot,75,1420,-14,14,mainplot,include
401,3,Melvin,1,A,32,unrelated,long,sideplot,27,1876.4,-5,5,unrelated-long,include
401,3,Charles,2,B,92,mainplot,mainplot,mainplot,91,3836.4,-1,1,mainplot,include
401,3,Beatrice,1,A,15,coherent,long,sideplot,17,2084.2,2,2,coherent-long,include
401,3,Johnny,1,A,59,coherent,short,sideplot,53,2068.3,-6,6,coherent-short,include
401,3,Johnny,2,A,100,coherent,short,sideplot,107,1644.1,7,7,coherent-short,include
