subject,version,character_1,act_1,event_1,image_1,position_1,character_2,act_2,event_2,image_2,position_2,coherence,lag,plot,response,correct_distance,rt,stimulus,condition,trial_index,error,abs_error
301,6,Charles,1,E,3,67,Charles,2,A,4,76,mainplot,mainplot,NA,118,8,7400.5,"[""<img src=\""jspsych/stimuli/charles1E3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2A4.png\"" width=\""480\"" height=\""270\"">""]",adjacent,25,110,110
301,6,Charles,1,B,2,18,Charles,1,B,5,21,mainplot,mainplot,NA,114,2,5674.9,"[""<img src=\""jspsych/stimuli/charles1B2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1B5.png\"" width=\""480\"" height=\""270\"">""]",within,26,112,112
301,6,Sandra,1,A,2,58,Sandra,2,B,5,101,unrelated,short,NA,101,42,7674.4,"[""<img src=\""jspsych/stimuli/sandra1A2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/sandra2B5.png\"" width=\""480\"" height=\""270\"">""]",across,27,59,59
301,6,Johnny,1,A,7,31,Johnny,2,A,7,135,coherent,long,NA,90,103,9193.8,"[""<img src=\""jspsych/stimuli/johnny1A7.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A7.png\"" width=\""480\"" height=\""270\"">""]",across,28,-13,13
301,6,Sandra,1,A,8,64,Sandra,2,B,3,99,unrelated,short,NA,87,34,9309,"[""<img src=\""jspsych/stimuli/sandra1A8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/sandra2B3.png\"" width=\""480\"" height=\""270\"">""]",across,29,53,53
301,6,Charles,1,B,3,19,Charles,1,D,1,49,mainplot,mainplot,NA,85,29,8852.2,"[""<img src=\""jspsych/stimuli/charles1B3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1D1.png\"" width=\""480\"" height=\""270\"">""]",random,30,56,56
301,6,Charles,1,A,6,6,Charles,2,C,6,110,mainplot,long,NA,130,103,4299.2,"[""<img src=\""jspsych/stimuli/charles1A6.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2C6.png\"" width=\""480\"" height=\""270\"">""]",across,31,27,27
301,6,Melvin,1,A,3,11,Charles,1,B,3,19,unrelated,long,NA,29,7,7418.5,"[""<img src=\""jspsych/stimuli/melvin1A3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1B3.png\"" width=\""480\"" height=\""270\"">""]",adjacent,32,22,22
301,6,Charles,1,A,3,3,Charles,1,A,8,8,mainplot,mainplot,NA,55,4,6610.7,"[""<img src=\""jspsych/stimuli/charles1A3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1A8.png\"" width=\""480\"" height=\""270\"">""]",within,33,51,51
301,6,Charles,1,A,2,2,Charles,2,E,5,141,mainplot,mainplot,NA,89,138,6898,"[""<img src=\""jspsych/stimuli/charles1A2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2E5.png\"" width=\""480\"" height=\""270\"">""]",random,34,-49,49
301,6,Charles,2,D,1,121,Johnny,2,A,1,129,coherent,long,NA,61,7,7698.5,"[""<img src=\""jspsych/stimuli/charles2D1.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A1.png\"" width=\""480\"" height=\""270\"">""]",adjacent,35,54,54
301,6,Charles,2,B,3,91,Charles,2,C,1,105,mainplot,mainplot,NA,2,13,6130.4,"[""<img src=\""jspsych/stimuli/charles2B3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2C1.png\"" width=\""480\"" height=\""270\"">""]",random,36,-11,11
301,6,Melvin,2,B,3,115,Melvin,2,B,8,120,unrelated,long,NA,1,4,5985.5,"[""<img src=\""jspsych/stimuli/melvin2B3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/melvin2B8.png\"" width=\""480\"" height=\""270\"">""]",within,37,-3,3
301,6,Sandra,1,A,5,61,Sandra,2,B,3,99,unrelated,short,NA,40,37,8331.4,"[""<img src=\""jspsych/stimuli/sandra1A5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/sandra2B3.png\"" width=\""480\"" height=\""270\"">""]",across,38,3,3
301,6,Melvin,1,A,1,9,Melvin,2,B,1,113,unrelated,long,NA,4,103,4727.9,"[""<img src=\""jspsych/stimuli/melvin1A1.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/melvin2B1.png\"" width=\""480\"" height=\""270\"">""]",across,41,-99,99
301,6,Charles,1,C,3,35,Charles,1,D,8,56,mainplot,mainplot,NA,0,20,4028.5,"[""<img src=\""jspsych/stimuli/charles1C3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1D8.png\"" width=\""480\"" height=\""270\"">""]",random,42,-20,20
301,6,Beatrice,2,A,8,88,Charles,2,B,8,96,coherent,short,NA,94,7,6115.7,"[""<img src=\""jspsych/stimuli/beatrice2A8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2B8.png\"" width=\""480\"" height=\""270\"">""]",adjacent,43,87,87
301,6,Johnny,1,A,6,30,Charles,1,C,6,38,coherent,long,NA,36,7,5210,"[""<img src=\""jspsych/stimuli/johnny1A6.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1C6.png\"" width=\""480\"" height=\""270\"">""]",adjacent,44,29,29
301,6,Melvin,1,A,7,15,Melvin,2,B,5,117,unrelated,long,NA,34,101,6667,"[""<img src=\""jspsych/stimuli/melvin1A7.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/melvin2B5.png\"" width=\""480\"" height=\""270\"">""]",across,45,-67,67
301,6,Charles,1,D,2,50,Charles,2,B,2,90,mainplot,short,NA,89,39,4808.2,"[""<img src=\""jspsych/stimuli/charles1D2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2B2.png\"" width=\""480\"" height=\""270\"">""]",across,46,50,50
301,6,Charles,2,A,8,80,Beatrice,2,A,8,88,coherent,short,NA,39,7,4515.1,"[""<img src=\""jspsych/stimuli/charles2A8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A8.png\"" width=\""480\"" height=\""270\"">""]",adjacent,47,32,32
301,6,Johnny,2,A,1,129,Charles,2,E,1,137,coherent,long,NA,93,7,4707.5,"[""<img src=\""jspsych/stimuli/johnny2A1.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2E1.png\"" width=\""480\"" height=\""270\"">""]",adjacent,48,86,86
301,6,Melvin,1,A,5,13,Melvin,2,B,2,114,unrelated,long,NA,77,100,7123.6,"[""<img src=\""jspsych/stimuli/melvin1A5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/melvin2B2.png\"" width=\""480\"" height=\""270\"">""]",across,49,-23,23
301,6,Beatrice,1,A,4,44,Beatrice,2,A,6,86,coherent,short,NA,86,41,7707.1,"[""<img src=\""jspsych/stimuli/beatrice1A4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A6.png\"" width=\""480\"" height=\""270\"">""]",across,50,45,45
301,6,Beatrice,1,A,2,42,Beatrice,2,A,5,85,coherent,short,NA,99,42,4906.8,"[""<img src=\""jspsych/stimuli/beatrice1A2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A5.png\"" width=\""480\"" height=\""270\"">""]",across,51,57,57
301,6,Charles,1,E,5,69,Charles,2,A,6,78,mainplot,mainplot,NA,101,8,4554.7,"[""<img src=\""jspsych/stimuli/charles1E5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2A6.png\"" width=\""480\"" height=\""270\"">""]",adjacent,52,93,93
301,6,Johnny,1,A,4,28,Johnny,2,A,4,132,coherent,long,NA,90,103,6298.7,"[""<img src=\""jspsych/stimuli/johnny1A4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A4.png\"" width=\""480\"" height=\""270\"">""]",across,53,-13,13
301,6,Sandra,1,A,7,63,Sandra,2,B,2,98,unrelated,short,NA,74,34,4955.1,"[""<img src=\""jspsych/stimuli/sandra1A7.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/sandra2B2.png\"" width=\""480\"" height=\""270\"">""]",across,54,40,40
301,6,Charles,1,C,1,33,Charles,2,D,1,121,mainplot,mainplot,NA,112,87,5298.7,"[""<img src=\""jspsych/stimuli/charles1C1.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2D1.png\"" width=\""480\"" height=\""270\"">""]",random,55,25,25
301,6,Charles,1,C,8,40,Beatrice,1,A,8,48,coherent,short,NA,19,7,5306.3,"[""<img src=\""jspsych/stimuli/charles1C8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice1A8.png\"" width=\""480\"" height=\""270\"">""]",adjacent,56,12,12
301,6,Charles,1,D,5,53,Charles,2,D,8,128,mainplot,mainplot,NA,119,74,5193.5,"[""<img src=\""jspsych/stimuli/charles1D5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2D8.png\"" width=\""480\"" height=\""270\"">""]",random,57,45,45
301,6,Charles,1,C,4,36,Charles,1,D,4,52,mainplot,mainplot,NA,6,15,3372.5,"[""<img src=\""jspsych/stimuli/charles1C4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1D4.png\"" width=\""480\"" height=\""270\"">""]",random,58,-9,9
301,6,Johnny,1,A,5,29,Johnny,2,A,7,135,coherent,long,NA,6,105,7155.9,"[""<img src=\""jspsych/stimuli/johnny1A5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A7.png\"" width=\""480\"" height=\""270\"">""]",across,59,-99,99
301,6,Charles,1,C,5,37,Charles,2,A,5,77,mainplot,short,NA,97,39,3651.6,"[""<img src=\""jspsych/stimuli/charles1C5.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2A5.png\"" width=\""480\"" height=\""270\"">""]",across,60,58,58
301,6,Johnny,2,A,1,129,Johnny,2,A,6,134,coherent,long,NA,7,4,4859.8,"[""<img src=\""jspsych/stimuli/johnny2A1.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A6.png\"" width=\""480\"" height=\""270\"">""]",within,61,3,3
301,6,Johnny,1,A,2,26,Johnny,2,A,2,130,coherent,long,NA,5,103,8939.6,"[""<img src=\""jspsych/stimuli/johnny1A2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/johnny2A2.png\"" width=\""480\"" height=\""270\"">""]",across,62,-98,98
301,6,Melvin,1,A,2,10,Melvin,2,B,7,119,unrelated,long,NA,25,108,6898.5,"[""<img src=\""jspsych/stimuli/melvin1A2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/melvin2B7.png\"" width=\""480\"" height=\""270\"">""]",across,63,-83,83
301,6,Johnny,2,A,6,134,Charles,2,E,6,142,coherent,long,NA,80,7,5042.9,"[""<img src=\""jspsych/stimuli/johnny2A6.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2E6.png\"" width=\""480\"" height=\""270\"">""]",adjacent,64,73,73
301,6,Charles,1,B,8,24,Charles,2,B,8,96,mainplot,mainplot,NA,63,71,8867.8,"[""<img src=\""jspsych/stimuli/charles1B8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2B8.png\"" width=\""480\"" height=\""270\"">""]",random,65,-8,8
301,6,Melvin,1,A,1,9,Melvin,2,B,6,118,unrelated,long,NA,15,108,5674.9,"[""<img src=\""jspsych/stimuli/melvin1A1.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/melvin2B6.png\"" width=\""480\"" height=\""270\"">""]",across,66,-93,93
301,6,Charles,1,A,3,3,Melvin,1,A,3,11,unrelated,long,NA,32,7,4779.9,"[""<img src=\""jspsych/stimuli/charles1A3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/melvin1A3.png\"" width=\""480\"" height=\""270\"">""]",adjacent,67,25,25
301,6,Charles,2,B,4,92,Charles,2,B,6,94,mainplot,mainplot,NA,3,1,4107.9,"[""<img src=\""jspsych/stimuli/charles2B4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2B6.png\"" width=\""480\"" height=\""270\"">""]",within,68,2,2
301,6,Charles,2,D,3,123,Charles,2,D,6,126,mainplot,mainplot,NA,3,2,8451.8,"[""<img src=\""jspsych/stimuli/charles2D3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2D6.png\"" width=\""480\"" height=\""270\"">""]",within,69,1,1
301,6,Melvin,1,A,4,12,Melvin,2,B,1,113,unrelated,long,NA,51,100,8804.6,"[""<img src=\""jspsych/stimuli/melvin1A4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/melvin2B1.png\"" width=\""480\"" height=\""270\"">""]",across,70,-49,49
301,6,Sandra,1,A,6,62,Charles,1,E,6,70,unrelated,short,NA,88,7,4155.5,"[""<img src=\""jspsych/stimuli/sandra1A6.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1E6.png\"" width=\""480\"" height=\""270\"">""]",adjacent,71,81,81
301,6,Melvin,1,A,8,16,Charles,1,B,8,24,unrelated,long,NA,31,7,8331.5,"[""<img src=\""jspsych/stimuli/melvin1A8.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles1B8.png\"" width=\""480\"" height=\""270\"">""]",adjacent,72,24,24
301,6,Charles,1,B,2,18,Charles,2,D,2,122,mainplot,long,NA,91,103,9835.6,"[""<img src=\""jspsych/stimuli/charles1B2.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/charles2D2.png\"" width=\""480\"" height=\""270\"">""]",across,73,-12,12
301,6,Beatrice,1,A,4,44,Beatrice,2,A,1,81,coherent,short,NA,82,36,7390.4,"[""<img src=\""jspsych/stimuli/beatrice1A4.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/beatrice2A1.png\"" width=\""480\"" height=\""270\"">""]",across,74,46,46
301,6,Sandra,1,A,3,59,Sandra,2,B,7,103,unrelated,short,NA,87,43,3459,"[""<img src=\""jspsych/stimuli/sandra1A3.png\"" width=\""480\"" height=\""270\""> &nbsp <img src=\""jspsych/stimuli/sandra2B7.png\"" width=\""480\"" height=\""270\"">""]",across,75,44,44
