subject,version,character,coherence,lag,plot,response,rt,word_count
301,6,Melvin,unrelated,long,sideplot,"{""Q0"":""Melvin needed a recipe from his grandma for potatoes to make a good meal for his boyfriend since their relationship has been strained recently. He asked Charles if he knew where it was. He also asked Charles about where to find plane tickets to hawaii because his date went very well. In this phone conversation with Charles, he did explain how he made the potatoes and offered some to charles. ""}",189901.7,71
301,6,Beatrice,coherent,short,sideplot,"{""Q0"":""Fist, she asked Charles to chose between two dogs for her and her girlfriend because they thought a pet would help their relationship. she expressed how she would move out if her girlfriend bought a certain breed with a ribbon on its collar. Later, she called him asking whether he knew of a 1 bedroom apartment because she had to move out since her girlfriend picked the dog she did not like. ""}",293047.3,73
301,6,Johnny,coherent,long,sideplot,"{""Q0"":""Johnny called Charles to tell him about a play he was in while dressed in a medieval costume. He kept talking about how we wanted to be in Hamlet and quoted \""to be or not to be.\""  ""}",181397.2,39
301,6,Sandra,unrelated,short,sideplot,"{""Q0"":""Sandra first asked for Charles opinion on a cell phone call about a date she was going on. it was a blind date and she did not know if it was with the guy who was a womanizer and had been with one of her friends. She exclaimed that she would be furious if it was him. In the next encounter with charles (in-person), she was crying with a tissue in her right hand. I'm not sure why she was crying. She was wearing a deep red top. ""}",181062.9,89
301,6,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles was wearing a beige sport coat with a casual shirt underneath for the majority of the clip. However, when he was waiting at the bus stop, he was wearing a different outfit with a striped cap on his head. Johnny worked for a newspaper company and was in the photography department. He wanted a promotion and was hoping to get one by submitting the perfect photo for the mayor's reaction to a scandal. Charles was the character who spoke with all the other different characters and offered advice to them. Charles was able to capture the perfect picture of the mayor, but forgot to press send on the email with the attachment, so he did not get his promotion. Charles meets with his mom on a weekly basis at the park. When he was with his mom, this was the first time he noticed the picture was not on the article. Charles also takes the bus in London (to piccadilly circle). Charles does not have a girlfriend or boyfriend, as evidenced through his mom's comment about how it would be nice for him to have someone. At work, Charles has his own desk and camera, and his desk is messy with lots of papers sitting on top. He also seems to like Greek yogurt, since he eats it when at his desk at work. ""}",442870.5,226
310,32,Melvin,unrelated,short,sideplot,"{""Q0"":""He was diving in the trash in the morning to look for his key that he thought he threw out. He was wearing a white shirt that got dirty. He called Charles 2x throughout the day. I think he eventually found the key later in the day. He changed clothes later in the day as well. ""}",181442.6,57
310,32,Beatrice,unrelated,long,sideplot,"{""Q0"":""She called Charles and asked if he knew of any nice places to stay or single bedroom apartments. She was wearing a green shirt in the last conversation. She called Charles once earlier in the day and once later in the day but I cant remember what the first conversation was about. She seemed to have her life pretty put together compared to many of the others; mature. ""}",180908.7,69
310,32,Johnny,coherent,short,sideplot,"{""Q0"":""He was a nicely dressed man who called charles earlier in the day asking if he had seen his Amex credit card. He lost it but needed it to make a late payment on his house. He was supposed to pay earlier in the month but missed his payment, but the bank allowed him to pay later only if he used his credit card. I dont think we ever found out if he found his card, but later in the day, he called charles again, but this time asked if he knew any lawyers that handled money issues. He said that whatever was happening next he would need legal representation, and he thought charles would know someone, but I dont think charles recommended anyone in particular.""}",184742.6,126
310,32,Sandra,coherent,long,sideplot,"{""Q0"":""Sandra mayes was the first eprson to call charles in the story. She was an artist and had a big exhibition that night. She was very nervous because of one art critic that was short and had short hair with glasses and a red shirt. She was apparently a very harsh critic. Sandra apparently followed the critics around the gallery when they ariived. At the event, she called charles again and as she was talking the critic came in, but at the sdame time she decided to walk out of the gallery. Charles didnt know why she would be nervous for the big critics because he said if she got a commision peice, she would make a lot of money.""}",181478.3,120
310,32,Charles,mainplot,mainplot,mainplot,"{""Q0"":""Charles is a reporter and photographer for a newspaper. His latest task involved a peice about the mayor who had allegations of corruption. In the morning, he was sitiing at his desk in the office which had grey walls and blue carpet. There was a white wooden door to the office. He was wearing a yellow scarf and I think grey jacket. He had a nikon camera and a pile of overflowing folders. He was drinking coffee in the morning as well. He received many calls throughout the day. WHen he finally went to capture the mayor on camera, he went to the builder where the mayor worked. It was a white building with a podium for his speech. The mayor was late for the conference because hedropped his kid off at school that day and all of the reporters were saying that he didi it so they would \""go easy on him.\"" He finally arrived being escorted by a fancy black car. He stepped out and walked up with his two seciruty gaurds. Before he started speeking, charles said something that got his attention where he snapped his perfect picture. WHen he got back to the office he started drafting his story with the picture attached. When he finished he ~thought~ he sent the email to his boss. After that he met with his mother in the park where they talked for a bit and he received some of the phone calls. He told his mother about the story that was going to be published and sent her the link ealier in the day. When he asked how she liked it, she said he wasnt in the article. When he checked, he was shocked to see his article wasnt there. He because furious because this was supposed to be the picture that got him a promotion. He went back to the office to confront his boss and ask why his wasnt published. He talked to the receptionist who made him wait then brought him to the boss's office. He was sitting behind a computer and charles asked what happened. He said the paper had to buy another photographers picture because he never sent his. He relized then that he never actually sent the email with the picture attached. He was pissed. Thats all I remember from the end of the stoyr.""}",479614.6,392
