subject,version,character,act,event,coherence,lag,correct_detail,correct_order,response_detail,response_order,notes,rater
604,1,charles,1,A,mainplot,mainplot,"It was Charles Bort’s big break: there was finally a scandal he could photograph.
For weeks, local journalists had been hounding Mayor Frank about his abuse of power.
Now, Charles would have his turn, to photograph the Mayor as he responded to impeachment.
Early Tuesday morning Charles shivered in the grey-walled newsroom wearing his yellow scarf.
His boss was due any minute with word of where and when the Mayor could be photographed.
Charles impatiently devoured many spoonfuls of Greek yogurt behind the piles on his desk.
Photos were bursting from manila folders and weeks of newspapers with post-its.
Charles studied each photo, the angles too forgiving, the Mayor smiling too much.",1,Charles Bort was a journalist taking photos for the news agency he worked for. He was thin man with blond hair and blue eyes.,1,Perceptual features of Charles,aid
604,1,beatrice,1,A,unrelated,long,"A tremor ran through his leg, as his phone received a text from Beatrice Small.
“Sorry to bug you right now,” Beatrice texted anxiously, “But, I’m having a bit of a dilemma.”
“My girlfriend and I are having trouble agreeing on whether to adopt a lab or a corgi.”
“Is this really that important?” Charles replied, “I don’t know anything about dogs.”
“It’s been rocky the past week,” she replied, “And my girlfriend thought a dog would make things easier.”
“But if she insists on adopting a Labrador with a Pink collar, I’m moving out!”
“Why don’t you go to the animal shelter together,” Charles suggested, “And try to agree there?”
“That’s a great idea, thanks for the advice!” replied Beatrice before putting her phone away.",2,"On his way, Charles was interrupted by text messages;",3,Vague,aid
604,1,beatrice,1,A,unrelated,long,"A tremor ran through his leg, as his phone received a text from Beatrice Small.
“Sorry to bug you right now,” Beatrice texted anxiously, “But, I’m having a bit of a dilemma.”
“My girlfriend and I are having trouble agreeing on whether to adopt a lab or a corgi.”
“Is this really that important?” Charles replied, “I don’t know anything about dogs.”
“It’s been rocky the past week,” she replied, “And my girlfriend thought a dog would make things easier.”
“But if she insists on adopting a Labrador with a Pink collar, I’m moving out!”
“Why don’t you go to the animal shelter together,” Charles suggested, “And try to agree there?”
“That’s a great idea, thanks for the advice!” replied Beatrice before putting her phone away.",2,"First, Beatrice Small called him and asked him for help with her relationship with her girlfriend. Beatrice was a black woman with short curly black hair and brown eyes. She told Charles that she and her girlfriend were going through a rough patch in their relationship and that her girlfriend thought that getting a dog would \""make everything easier.\"" But, Beatrice said they disagreed about which kind of dog to get and she said that if her girlfriend got the kind of dog she wanted, a certain breed with a pink collar, then she would move out. Charles advised them to go to the animal shelter and pick out a dog together that they would both like.",6,Vague,aid
604,1,charles,1,B,mainplot,mainplot,"The newsroom was quiet, but Charles could make out footsteps approaching from the echoing hallway.
Charles knew those heavy steps, as they belonged to the managing editor, Charles’ boss.
The wooden door creaked open, and Charles called out, “What’s doing, boss?”
“Don’t get cozy, you got a date with Mayor Frank’s press conference in twenty minutes.”
“Twenty minutes?!” Charles yelled, “How the hell am I getting to City Hall in twenty minutes?”
Charles scrambled to pack his Nikon camera, detachable flash, and extra batteries.
Charles ran to the exit and his boss yelled, “Don’t forget to send me the photo!”
“Take my bicycle, it’s in the mailroom,” the managing editor continued as Charles rushed out of the room.",3,"He went into work one day and the head editor, Charles's boss, told him he was assigned to take a photo of the mayor twenty minutes later. The head editor looked older than Charles, had brown hair, wore glasses, and had a thin mustache. He was a bit rude to Charles and told him not to get too comfortable when he sat down at his desk because he had to rush to city hall to take a photo of the mayor. As Charles was leaving the room, the head editor told him to take his bike so he would be there on time.",2,perceptual features of Charles' boss described,aid
604,1,melvin,1,A,coherent,long,"Charles was interrupted by a video call from Melvin Doyle.
Melvin said, “Hey, Charles, I’m just on the way to my big audition right now.”
“Can you guess which play it’s for?” Melvin quizzed, but Charles just shook his head.
“It’s Shakespeare’s Hamlet, why else would I go around wearing this Elizabethan collar?”
“They’re short on actors, so if they like me, I could end up playing Hamlet or Ophelia.”
“I had to prepare two monologues, including Hamlet’s, ‘to be or not to be’ speech.”
“I’ll do Ophelia’s speech in a falsetto, ‘O what a noble mind is overthrown.”
Melvin waved goodbye at Charles, saying “Wish me luck!” before ending the call.",4,and video calls from his friends.,4,Vague,aid
604,1,melvin,1,A,coherent,long,"Charles was interrupted by a video call from Melvin Doyle.
Melvin said, “Hey, Charles, I’m just on the way to my big audition right now.”
“Can you guess which play it’s for?” Melvin quizzed, but Charles just shook his head.
“It’s Shakespeare’s Hamlet, why else would I go around wearing this Elizabethan collar?”
“They’re short on actors, so if they like me, I could end up playing Hamlet or Ophelia.”
“I had to prepare two monologues, including Hamlet’s, ‘to be or not to be’ speech.”
“I’ll do Ophelia’s speech in a falsetto, ‘O what a noble mind is overthrown.”
Melvin waved goodbye at Charles, saying “Wish me luck!” before ending the call.",4,"think on his way to city hall, but it may have been at another time, Charles's friend Mateo face timed him to say he was auditioning for a Shakespeare play and that he wanted to either play Hamlet or Othello. Mateo had brown or tan skin and dark brown hair. He had either blue or brown eyes. Mateo asked Charles to wish him luck and Charles wished Mateo good luck.",7,refers melvin as mateo,aid
604,1,charles,1,C,mainplot,mainplot,"Twenty minutes later Charles chained the bike to a meter by the marble City Hall steps.
A crowd had formed on the steps around the mayor’s podium, but Charles could not see the mayor.
He needed a better vantage point, so he maneuvered all the way to the front of the crowd.
Since the mayor was late, the other local reporters and photographers stood around chatting.
A woman with a small camera and notepad stood next to Charles, scribbling away.
Charles got her attention, and he asked, “Any idea why Mayor Frank is running late?”
She chuckled, “Apparently he dropped his daughter off at school, though he never does that.”
“I guess he wants us to go easy,” Charles laughed heartily, “But too bad he’s a crook!”",5,"Charles arrived at City Hall before the mayor went there. While he was waiting just in front of the city hall steps he struck up a conversation with a journalist there. She was a white woman with long red hair in a braid and green eyes. Charles asked the journalist if she knew where the mayor was. She said that the mayor said he was late because he was dropping off his daughter at school and then said \""he doesn't really expect us to believe that though does he?\"" or something similar.",9,,aid
604,1,sandra,1,A,unrelated,short,"Charles was caught off guard as he received a call from Sandra Mayes.
“I have a blind date tomorrow,” she said, “And I’m getting really nervous.”
“I met this guy online, who’s really witty, but I don’t know what he looks like.”
“Isn’t that the point of a blind date,” Charles began, though he was interrupted by Sandra.
“He might be the guy who broke my friend’s heart, this smooth-talking womanizer type.”
“Well, that would be interesting,” said Charles, “You want some kind of advice from me?”
“No,” replied Sandra, “But, if he’s the guy with long hair, sideburns, and a leather jacket, he’ll be sorry.”
“Thanks though, I just wanted someone to talk to,” she continued before hanging up.",6,phone calls,5,,aid
604,1,sandra,1,A,unrelated,short,"Charles was caught off guard as he received a call from Sandra Mayes.
“I have a blind date tomorrow,” she said, “And I’m getting really nervous.”
“I met this guy online, who’s really witty, but I don’t know what he looks like.”
“Isn’t that the point of a blind date,” Charles began, though he was interrupted by Sandra.
“He might be the guy who broke my friend’s heart, this smooth-talking womanizer type.”
“Well, that would be interesting,” said Charles, “You want some kind of advice from me?”
“No,” replied Sandra, “But, if he’s the guy with long hair, sideburns, and a leather jacket, he’ll be sorry.”
“Thanks though, I just wanted someone to talk to,” she continued before hanging up.",6,"At some point in the day, Charles was also texted by Sandra Mayes who told him she was worried about a blind date she was going on. She said she thought it might be the man that broke her friend's heart and said that if he was a blond man with long hair and a leather jacket that he would be sorry. Sandra was a white woman with shoulder length dark brown hair and blue eyes.",8,Vague,aid
604,1,charles,1,D,mainplot,mainplot,"Charles compulsively checked his watch, expecting the Mayor to arrive at any moment.
He adjusted the lighting and focus on his camera, preparing to catch the Mayor off-guard.
Charles aimed the camera at the podium as he imagined capturing Mayor Frank’s real, non-rehearsed facial expressions.
The crowd grew silent as the rumble of a police vehicle approached, then cut its engine.
It escorted an automobile from which Mayor Frank emerged with two security guards.
As soon as the Mayor reached the podium one journalist yelled, “Why did you graffiti the courthouse?”
The Mayor replied, but seeing his opportunity, Charles exclaimed “Smile, Mr. Mayor!”
The Mayor glared at the camera, providing Charles the photograph that could make his career.",7,"A couple minutes later, the mayor pulled up to city call and stepped out of the backseat of a black sedan. He was escorted to the podium on the top of the city hall steps by two mean looking bodyguards. The mayor was a white man with brown eyes and short graying hair. The journalist with the red hair asked the mayor questions and he was very defensive. While answering questions, Charles took the perfect photo of the mayor where he looked like he was caught off guard.",10,,aid
